date,WaterLevel,Discharge,WaterTemperature,EC,Humidity,WindDir,AirTemp,WindSpeed
29/5/2021 7:00,30.918,6609.79,12.7,116,99,190,0.8,7.6
29/5/2021 7:30,30.914,6689.1,12.6,116,99,190,0.7,7.6
29/5/2021 8:00,30.917,6606.16,12.6,116,99,210,1.1,7.6
29/5/2021 8:30,30.913,6596.54,12.7,116,99,200,2.3,5.4
29/5/2021 9:00,30.918,6341.16,12.8,116,99,190,4.3,7.6
29/5/2021 9:30,30.921,6616.11,12.9,116.3,88,160,6.4,9.4
29/5/2021 10:00,30.916,6648.76,13.1,116.3,78,150,7.7,9.4
29/5/2021 10:30,30.913,6685.4,13.3,116,70,140,8.9,13
29/5/2021 11:00,30.912,6683.06,13.4,115.9,61,130,10.8,14.8
29/5/2021 11:30,30.913,6508.82,13.4,115.6,57,130,10.9,18.4
29/5/2021 12:00,30.914,6732.68,13.5,115.9,52,130,11.9,18.4
29/5/2021 12:30,30.915,6645.56,13.4,116.2,50,130,12,16.6
29/5/2021 13:00,30.911,6591.78,13.3,116.6,49,140,12.2,16.6
29/5/2021 13:30,30.911,6371.28,13.2,116.5,47,110,13,14.8
29/5/2021 14:00,30.913,6685.74,13.1,116.5,45,120,13.6,14.8
29/5/2021 14:30,30.912,6328.33,13.1,116.8,42,150,13.4,13
29/5/2021 15:00,30.91,6502.12,13,116.5,40,140,13.8,14.8
29/5/2021 15:30,30.911,6681.27,13,117.2,41,150,13.7,14.8
29/5/2021 16:00,30.911,6459.18,13,117.1,42,140,13.6,13
29/5/2021 16:30,30.911,6282.84,13,117.4,43,140,13.4,13
29/5/2021 17:00,30.911,6460.58,13,117.1,46,140,12.9,11.2
29/5/2021 17:30,30.911,6504.85,13,117.1,51,160,11.7,9.4
29/5/2021 18:00,30.911,6682.62,12.9,117.1,57,150,10.2,7.6
29/5/2021 18:30,30.914,6466.03,12.9,117.1,61,160,8.9,9.4
29/5/2021 19:00,30.912,6284.76,12.9,117.1,62,140,9,9.4
29/5/2021 19:30,30.913,6375.3,12.9,117.1,63,150,8.8,9.4
29/5/2021 20:00,30.913,6242.24,12.8,117.1,64,150,8.6,11.2
29/5/2021 20:30,30.914,6066.46,12.8,116.8,67,150,7.6,9.4
29/5/2021 21:00,30.914,6555.62,12.8,116.8,70,140,6.4,7.6
29/5/2021 21:30,30.916,6425.95,12.7,116.5,77,150,5.1,5.4
29/5/2021 22:00,30.915,6157.36,12.7,116.7,81,170,4.2,5.4
29/5/2021 22:30,30.915,6291.07,12.7,116.7,84,170,3.9,7.6
29/5/2021 23:00,30.914,6200.57,12.7,116.8,86,180,3.7,7.6
29/5/2021 23:30,30.915,6380.17,12.7,116.4,87,160,3.5,3.6
30/5/2021 0:00,30.915,6156.46,12.6,116.5,88,0,3,0
30/5/2021 0:30,30.916,6115.6,12.7,116.5,90,0,2,0
30/5/2021 1:00,30.915,6245.46,12.6,116.5,92,0,1.6,0
30/5/2021 1:30,30.915,6067.62,12.6,116.1,94,0,1.3,0
30/5/2021 2:00,30.914,6643.86,12.6,116.5,95,0,1,0
30/5/2021 2:30,30.914,6244.16,12.6,116.5,95,0,0.7,0
30/5/2021 3:00,30.914,5977.82,12.6,116.6,96,170,0.7,5.4
30/5/2021 3:30,30.913,6376.18,12.6,116.6,97,200,0.4,5.4
30/5/2021 4:00,30.914,6198.63,12.5,116.6,97,200,0.5,5.4
30/5/2021 4:30,30.911,6148.74,12.5,116.6,97,150,-0.4,7.6
30/5/2021 5:00,30.912,6150.65,12.5,116.6,97,160,-0.5,5.4
30/5/2021 5:30,30.913,6463.27,12.5,116.2,98,0,-0.6,0
30/5/2021 6:00,30.912,6283.89,12.5,116.6,98,0,-0.5,0
30/5/2021 6:30,30.911,6015.65,12.5,116.6,98,0,-1.1,0
30/5/2021 7:00,30.91,6191.55,12.5,116.2,98,180,-1.1,5.4
30/5/2021 7:30,30.91,6234.72,12.5,116.7,98,140,-1.2,9.4
30/5/2021 8:00,30.911,6148.13,12.5,116.4,99,130,-0.3,7.6
30/5/2021 8:30,30.909,6188.87,12.5,116.7,99,120,2.5,7.6
30/5/2021 9:00,30.909,6189,12.6,116.7,95,100,5.5,11.2
30/5/2021 9:30,30.908,6364.38,12.7,116.7,76,90,7.2,9.4
30/5/2021 10:00,30.907,6140.09,12.9,116.6,66,70,8.8,7.6
30/5/2021 10:30,30.908,6320.88,13,116.6,60,90,10.3,9.4
30/5/2021 11:00,30.909,6145.33,13.1,116.2,55,80,11.4,11.2
30/5/2021 11:30,30.904,6045.43,13.2,116.6,48,60,11.9,13
30/5/2021 12:00,30.902,6528.41,13.2,116.5,44,30,12.6,14.8
30/5/2021 12:30,30.904,6088.91,13,116.8,42,40,13.1,13
30/5/2021 13:00,30.902,6040.93,13,117.2,40,360,13.3,11.2
